"id","type","value","min_au_thick","max_au_thick","min_finger_count","max_finger_count"
"__export__.pcb_fee_finger_1_154","金手指费",20.28,36,41,121,140
"__export__.pcb_fee_finger_1_155","金手指费",23.12,36,41,141,160
"__export__.pcb_fee_finger_1_156","金手指费",26.03,36,41,161,180
"__export__.pcb_fee_finger_1_157","金手指费",28.96,36,41,181,200
"__export__.pcb_fee_finger_1_158","金手指费",31.87,36,41,210,220
"__export__.pcb_fee_finger_1_159","金手指费",34.01,36,41,221,240
"__export__.pcb_fee_finger_1_160","金手指费",36.88,36,41,241,260
"__export__.pcb_fee_finger_1_161","金手指费",39.72,36,41,261,280
"__export__.pcb_fee_finger_1_162","金手指费",42.6,36,41,281,300
"__export__.pcb_fee_finger_1_163","金手指费",5.54,41,46,0,5
"__export__.pcb_fee_finger_1_164","金手指费",6.33,41,46,6,10
"__export__.pcb_fee_finger_1_165","金手指费",7.59,41,46,11,15
"__export__.pcb_fee_finger_1_166","金手指费",9.49,41,46,16,20
"__export__.pcb_fee_finger_1_167","金手指费",11.43,41,46,21,40
"__export__.pcb_fee_finger_1_168","金手指费",13.68,41,46,41,60
"__export__.pcb_fee_finger_1_169","金手指费",15.65,41,46,61,80
"__export__.pcb_fee_finger_1_170","金手指费",18.37,41,46,81,100
"__export__.pcb_fee_finger_1_171","金手指费",20.66,41,46,101,120
"__export__.pcb_fee_finger_1_172","金手指费",24.28,41,46,121,140
"__export__.pcb_fee_finger_1_173","金手指费",27.88,41,46,141,160
"__export__.pcb_fee_finger_1_174","金手指费",31.35,41,46,161,180
"__export__.pcb_fee_finger_1_175","金手指费",34.86,41,46,181,200
"__export__.pcb_fee_finger_1_176","金手指费",37.54,41,46,210,220
"__export__.pcb_fee_finger_1_177","金手指费",40.91,41,46,221,240
"__export__.pcb_fee_finger_1_178","金手指费",44.34,41,46,241,260
"__export__.pcb_fee_finger_1_179","金手指费",47.77,41,46,261,280
"__export__.pcb_fee_finger_1_180","金手指费",51.2,41,46,281,300
"__export__.pcb_fee_finger_1_181","金手指费",7.37,46,51,0,5
"__export__.pcb_fee_finger_1_182","金手指费",8.41,46,51,6,10
"__export__.pcb_fee_finger_1_183","金手指费",10.09,46,51,11,15
"__export__.pcb_fee_finger_1_184","金手指费",12.62,46,51,16,20
"__export__.pcb_fee_finger_1_185","金手指费",15.15,46,51,21,40
"__export__.pcb_fee_finger_1_186","金手指费",18.08,46,51,41,60
"__export__.pcb_fee_finger_1_187","金手指费",20.67,46,51,61,80
"__export__.pcb_fee_finger_1_188","金手指费",21.38,46,51,81,100
"__export__.pcb_fee_finger_1_189","金手指费",27.47,46,51,101,120
"__export__.pcb_fee_finger_1_190","金手指费",32.65,46,51,121,140
"__export__.pcb_fee_finger_1_191","金手指费",37.19,46,51,141,160
"__export__.pcb_fee_finger_1_192","金手指费",41.77,46,51,161,180
"__export__.pcb_fee_finger_1_193","金手指费",45.45,46,51,181,200
"__export__.pcb_fee_finger_1_194","金手指费",50,46,51,210,220
"__export__.pcb_fee_finger_1_195","金手指费",54.16,46,51,221,240
"__export__.pcb_fee_finger_1_196","金手指费",59.02,46,51,241,260
"__export__.pcb_fee_finger_1_197","金手指费",63.58,46,51,261,280
"__export__.pcb_fee_finger_1_198","金手指费",68.14,46,51,281,300
